image_id,family,seed,row_index,clutter_level,disorder_level,incoherence_level,salience_level,hierarchy_level,structural_clutter_index,geometric_order_index,palette_coherence_index,visual_salience_index,focal_hierarchy_index,image_path
X_opencv_S100_R000,X_opencv_orthogonal,100,0,0,0,0,0,0,0,100,100,0,0,results/no_human/runs/run_20260720_external_protocol_v6/images/X_opencv_S100_R000.png
X_opencv_S100_R001,X_opencv_orthogonal,100,1,0,0,1,1,3,0,100,75,25,75,results/no_human/runs/run_20260720_external_protocol_v6/images/X_opencv_S100_R001.png
X_opencv_S100_R002,X_opencv_orthogonal,100,2,0,0,2,2,1,0,100,50,50,25,results/no_human/runs/run_20260720_external_protocol_v6/images/X_opencv_S100_R002.png
X_opencv_S100_R003,X_opencv_orthogonal,100,3,0,0,3,3,4,0,100,25,75,100,results/no_human/runs/run_20260720_external_protocol_v6/images/X_opencv_S100_R003.png
X_opencv_S100_R004,X_opencv_orthogonal,100,4,0,0,4,4,2,0,100,0,100,50,results/no_human/runs/run_20260720_external_protocol_v6/images/X_opencv_S100_R004.png
X_opencv_S100_R005,X_opencv_orthogonal,100,5,0,1,0,1,2,0,75,100,25,50,results/no_human/runs/run_20260720_external_protocol_v6/images/X_opencv_S100_R005.png
X_opencv_S100_R006,X_opencv_orthogonal,100,6,0,1,1,2,0,0,75,75,50,0,results/no_human/runs/run_20260720_external_protocol_v6/images/X_opencv_S100_R006.png
X_opencv_S100_R007,X_opencv_orthogonal,100,7,0,1,2,3,3,0,75,50,75,75,results/no_human/runs/run_20260720_external_protocol_v6/images/X_opencv_S100_R007.png
X_opencv_S100_R008,X_opencv_orthogonal,100,8,0,1,3,4,1,0,75,25,100,25,results/no_human/runs/run_20260720_external_protocol_v6/images/X_opencv_S100_R008.png
X_opencv_S100_R009,X_opencv_orthogonal,100,9,0,1,4,0,4,0,75,0,0,100,results/no_human/runs/run_20260720_external_protocol_v6/images/X_opencv_S100_R009.png
X_opencv_S100_R010,X_opencv_orthogonal,100,10,0,2,0,2,4,0,50,100,50,100,results/no_human/runs/run_20260720_external_protocol_v6/images/X_opencv_S100_R010.png
X_opencv_S100_R011,X_opencv_orthogonal,100,11,0,2,1,3,2,0,50,75,75,50,results/no_human/runs/run_20260720_external_protocol_v6/images/X_opencv_S100_R011.png
X_opencv_S100_R012,X_opencv_orthogonal,100,12,0,2,2,4,0,0,50,50,100,0,results/no_human/runs/run_20260720_external_protocol_v6/images/X_opencv_S100_R012.png
X_opencv_S100_R013,X_opencv_orthogonal,100,13,0,2,3,0,3,0,50,25,0,75,results/no_human/runs/run_20260720_external_protocol_v6/images/X_opencv_S100_R013.png
X_opencv_S100_R014,X_opencv_orthogonal,100,14,0,2,4,1,1,0,50,0,25,25,results/no_human/runs/run_20260720_external_protocol_v6/images/X_opencv_S100_R014.png
X_opencv_S100_R015,X_opencv_orthogonal,100,15,0,3,0,3,1,0,25,100,75,25,results/no_human/runs/run_20260720_external_protocol_v6/images/X_opencv_S100_R015.png
