generator,seed,metric,target,rho
original_G-test,15,canny_edge_density,structural_clutter_index,0.6734288302959777
original_G-test,16,canny_edge_density,structural_clutter_index,0.6903973450085522
original_G-test,17,canny_edge_density,structural_clutter_index,0.6563364923583908
original_G-test,18,canny_edge_density,structural_clutter_index,0.6632478425988263
original_G-test,19,canny_edge_density,structural_clutter_index,0.655323813094626
original_G-test,20,canny_edge_density,structural_clutter_index,0.6474124582157644
original_G-test,21,canny_edge_density,structural_clutter_index,0.6656786511505037
original_G-test,22,canny_edge_density,structural_clutter_index,0.6649787546144773
original_G-test,23,canny_edge_density,structural_clutter_index,0.6579824989048902
original_G-test,24,canny_edge_density,structural_clutter_index,0.6544466668963704
original_G-test,15,multiscale_lab_residual_entropy,structural_clutter_index,0.5111103767116055
original_G-test,16,multiscale_lab_residual_entropy,structural_clutter_index,0.582743476409201
original_G-test,17,multiscale_lab_residual_entropy,structural_clutter_index,0.5544115481933946
original_G-test,18,multiscale_lab_residual_entropy,structural_clutter_index,0.5176177259471422
original_G-test,19,multiscale_lab_residual_entropy,structural_clutter_index,0.550360255132817
original_G-test,20,multiscale_lab_residual_entropy,structural_clutter_index,0.5279416322662914
original_G-test,21,multiscale_lab_residual_entropy,structural_clutter_index,0.5030782345578682
original_G-test,22,multiscale_lab_residual_entropy,structural_clutter_index,0.51931753083061
original_G-test,23,multiscale_lab_residual_entropy,structural_clutter_index,0.5229105873984654
original_G-test,24,multiscale_lab_residual_entropy,structural_clutter_index,0.5442332939517869
original_G-test,15,jpeg_bytes_per_pixel_q90,structural_clutter_index,0.4729363872468179
original_G-test,16,jpeg_bytes_per_pixel_q90,structural_clutter_index,0.5311805167957026
original_G-test,17,jpeg_bytes_per_pixel_q90,structural_clutter_index,0.4980273916574268
original_G-test,18,jpeg_bytes_per_pixel_q90,structural_clutter_index,0.47791682187964624
original_G-test,19,jpeg_bytes_per_pixel_q90,structural_clutter_index,0.5084701118149516
original_G-test,20,jpeg_bytes_per_pixel_q90,structural_clutter_index,0.5020321751207143
original_G-test,21,jpeg_bytes_per_pixel_q90,structural_clutter_index,0.4489285717760932
original_G-test,22,jpeg_bytes_per_pixel_q90,structural_clutter_index,0.4497413017184203
original_G-test,23,jpeg_bytes_per_pixel_q90,structural_clutter_index,0.4926133258645892
original_G-test,24,jpeg_bytes_per_pixel_q90,structural_clutter_index,0.46568725974797326
original_G-test,15,hasler_susstrunk_colourfulness,palette_coherence_index,-0.27113521205761737
original_G-test,16,hasler_susstrunk_colourfulness,palette_coherence_index,-0.20401081964824383
original_G-test,17,hasler_susstrunk_colourfulness,palette_coherence_index,-0.10808263297855861
original_G-test,18,hasler_susstrunk_colourfulness,palette_coherence_index,-0.21476374348371619
original_G-test,19,hasler_susstrunk_colourfulness,palette_coherence_index,-0.20743148466807007
original_G-test,20,hasler_susstrunk_colourfulness,palette_coherence_index,-0.1565446934947854
original_G-test,21,hasler_susstrunk_colourfulness,palette_coherence_index,-0.14012849272191036
original_G-test,22,hasler_susstrunk_colourfulness,palette_coherence_index,-0.2026550468098816
original_G-test,23,hasler_susstrunk_colourfulness,palette_coherence_index,-0.18685118730598785
original_G-test,24,hasler_susstrunk_colourfulness,palette_coherence_index,-0.14710795146735317
original_G-test,15,global_luminance_cv,visual_salience_index,0.23111741981785375
original_G-test,16,global_luminance_cv,visual_salience_index,0.26487815401222764
original_G-test,17,global_luminance_cv,visual_salience_index,0.25962821745201137
original_G-test,18,global_luminance_cv,visual_salience_index,0.31664337283630845
original_G-test,19,global_luminance_cv,visual_salience_index,0.22172091349254924
