target,split,n,n_candidate_numeric_features,n_nonconstant_development_features,selected_alpha_on_gvalidation,validation_rho_used_for_selection,training_splits,rho
structural_clutter_index,G-dev,6250,38,38,0.1,0.5518862675774451,G-dev+G-validation after alpha selection,0.47086928515368764
structural_clutter_index,G-validation,3125,38,38,0.1,0.5518862675774451,G-dev+G-validation after alpha selection,0.5789629303789195
structural_clutter_index,G-test,6250,38,38,0.1,0.5518862675774451,G-dev+G-validation after alpha selection,0.6667297338312056
structural_clutter_index,interaction-test,800,38,38,0.1,0.5518862675774451,G-dev+G-validation after alpha selection,0.8813596479831511
geometric_order_index,G-dev,6250,38,38,100.0,0.14416217921294394,G-dev+G-validation after alpha selection,0.5527971547645376
geometric_order_index,G-validation,3125,38,38,100.0,0.14416217921294394,G-dev+G-validation after alpha selection,0.31701351990489435
geometric_order_index,G-test,6250,38,38,100.0,0.14416217921294394,G-dev+G-validation after alpha selection,0.47912116111566144
geometric_order_index,interaction-test,800,38,38,100.0,0.14416217921294394,G-dev+G-validation after alpha selection,0.048675992010503086
palette_coherence_index,G-dev,6250,38,38,0.1,0.4688082513796094,G-dev+G-validation after alpha selection,0.5132738045719215
palette_coherence_index,G-validation,3125,38,38,0.1,0.4688082513796094,G-dev+G-validation after alpha selection,0.47273557118557724
palette_coherence_index,G-test,6250,38,38,0.1,0.4688082513796094,G-dev+G-validation after alpha selection,0.3624859435407906
palette_coherence_index,interaction-test,800,38,38,0.1,0.4688082513796094,G-dev+G-validation after alpha selection,0.6575880137408364
visual_salience_index,G-dev,6250,38,38,100.0,0.6624234588319012,G-dev+G-validation after alpha selection,0.6345641297313461
visual_salience_index,G-validation,3125,38,38,100.0,0.6624234588319012,G-dev+G-validation after alpha selection,0.6571813138174808
visual_salience_index,G-test,6250,38,38,100.0,0.6624234588319012,G-dev+G-validation after alpha selection,0.7175106538264909
visual_salience_index,interaction-test,800,38,38,100.0,0.6624234588319012,G-dev+G-validation after alpha selection,0.3915512412834178
focal_hierarchy_index,G-dev,6250,38,38,100.0,0.7586249178320797,G-dev+G-validation after alpha selection,0.5485696625370644
focal_hierarchy_index,G-validation,3125,38,38,100.0,0.7586249178320797,G-dev+G-validation after alpha selection,0.8127215664221192
focal_hierarchy_index,G-test,6250,38,38,100.0,0.7586249178320797,G-dev+G-validation after alpha selection,0.8549402554847713
focal_hierarchy_index,interaction-test,800,38,38,100.0,0.7586249178320797,G-dev+G-validation after alpha selection,0.7198568076074796
