fit_split,metric,feature,weight,fit_rows,finite,n_unique,sample_std,responsive,active_gate_passed
G-dev,visual_complexity_proxy,num_dominant_colors,0.2,6250,True,4,0.574051361460362,True,True
G-dev,visual_complexity_proxy,color_entropy,0.15,6250,True,6250,0.1838777682740462,True,True
G-dev,visual_complexity_proxy,edge_density,0.25,6250,True,3017,0.003683812228817578,True,True
G-dev,visual_complexity_proxy,edge_orientation_entropy,0.15,6250,True,6250,0.09816301275954405,True,True
G-dev,visual_complexity_proxy,gradient_energy,0.1,6250,True,6250,3.3375556416200807,True,True
G-dev,visual_complexity_proxy,text_block_count,0.05,6250,True,25,3.6443719996130266,True,True
G-dev,visual_complexity_proxy,whitespace_ratio,-0.05,6250,True,5747,0.04214307488644747,True,True
G-dev,visual_complexity_proxy,symmetry,-0.05,6250,True,6250,0.03670372231883801,True,True
G-dev,layout_order_proxy,symmetry,0.25,6250,True,6250,0.03670372231883801,True,True
G-dev,layout_order_proxy,whitespace_ratio,0.2,6250,True,5747,0.04214307488644747,True,True
G-dev,layout_order_proxy,rule_of_thirds,0.15,6250,True,6250,0.031251143203915706,True,True
G-dev,layout_order_proxy,edge_density,-0.25,6250,True,3017,0.003683812228817578,True,True
G-dev,layout_order_proxy,text_block_count,-0.1,6250,True,25,3.6443719996130266,True,True
G-dev,layout_order_proxy,lightness_contrast,-0.05,6250,True,6250,5.6162765673078585,True,True
G-dev,colour_harmony_proxy,color_harmony,0.3,6250,True,7,0.08790494697697102,True,True
G-dev,colour_harmony_proxy,warm_color_ratio,0.25,6250,True,6106,0.1883079478758,True,True
G-dev,colour_harmony_proxy,saturation_std,0.2,6250,True,6250,8.220171001742383,True,True
G-dev,colour_harmony_proxy,hue_contrast,-0.15,6250,True,24,0.18372583408382176,True,True
G-dev,colour_harmony_proxy,num_dominant_colors,-0.1,6250,True,4,0.574051361460362,True,True
G-dev,visual_intensity_proxy,saturation_mean,0.35,6250,True,6250,14.59306909746589,True,True
G-dev,visual_intensity_proxy,lightness_contrast,0.25,6250,True,6250,5.6162765673078585,True,True
G-dev,visual_intensity_proxy,gradient_energy,0.2,6250,True,6250,3.3375556416200807,True,True
G-dev,visual_intensity_proxy,warm_color_ratio,0.1,6250,True,6106,0.1883079478758,True,True
G-dev,visual_intensity_proxy,saturation_std,0.1,6250,True,6250,8.220171001742383,True,True
G-dev,layout_hierarchy_proxy,edge_density,0.25,6250,True,3017,0.003683812228817578,True,True
G-dev,layout_hierarchy_proxy,saliency_std,0.2,6250,True,6248,0.02301638233549822,True,True
G-dev,layout_hierarchy_proxy,fg_bg_ratio,0.15,6250,True,5632,0.031304424398385794,True,True
G-dev,layout_hierarchy_proxy,text_block_count,0.15,6250,True,25,3.6443719996130266,True,True
G-dev,layout_hierarchy_proxy,has_text,0.1,6250,True,2,0.4223457798454254,True,True
G-dev,layout_hierarchy_proxy,saliency_mean,0.1,6250,True,6249,0.02431204888465016,True,True
G-dev,layout_hierarchy_proxy,whitespace_ratio,-0.05,6250,True,5747,0.04214307488644747,True,True
