version,proxy,feature,nominal_weight,absolute_weight,retained,effective_weight,n_unique_all,n_unique_gdev,gdev_sample_std
pre_fix_silent_fallback,visual_complexity_proxy,num_dominant_colors,0.2,0.2,True,0.2,4,4,0.5666966942050355
pre_fix_silent_fallback,visual_complexity_proxy,color_entropy,0.15,0.15,True,0.15,16425,6250,0.1838777682740462
pre_fix_silent_fallback,visual_complexity_proxy,edge_density,0.25,0.25,True,0.25,5271,3017,0.003683812228817578
pre_fix_silent_fallback,visual_complexity_proxy,edge_orientation_entropy,0.15,0.15,True,0.15,16425,6250,0.09816301275954405
pre_fix_silent_fallback,visual_complexity_proxy,gradient_energy,0.1,0.1,True,0.1,16425,6250,3.3375556416200807
pre_fix_silent_fallback,visual_complexity_proxy,text_block_count,0.05,0.05,True,0.05,26,25,3.6443719996130266
pre_fix_silent_fallback,visual_complexity_proxy,whitespace_ratio,-0.05,0.05,True,-0.05,14528,5747,0.04214307488644747
pre_fix_silent_fallback,visual_complexity_proxy,symmetry,-0.05,0.05,True,-0.05,16425,6250,0.03670372231883801
pre_fix_silent_fallback,layout_order_proxy,symmetry,0.25,0.25,True,0.25,16425,6250,0.03670372231883801
pre_fix_silent_fallback,layout_order_proxy,whitespace_ratio,0.2,0.2,True,0.2,14528,5747,0.04214307488644747
pre_fix_silent_fallback,layout_order_proxy,rule_of_thirds,0.15,0.15,False,0.0,1,1,2.2206237062533775e-16
pre_fix_silent_fallback,layout_order_proxy,edge_density,-0.25,0.25,True,-0.25,5271,3017,0.003683812228817578
pre_fix_silent_fallback,layout_order_proxy,text_block_count,-0.1,0.1,True,-0.1,26,25,3.6443719996130266
pre_fix_silent_fallback,layout_order_proxy,lightness_contrast,-0.05,0.05,True,-0.05,16425,6250,5.6162765673078585
pre_fix_silent_fallback,colour_harmony_proxy,color_harmony,0.3,0.3,True,0.3,7,7,0.08790494697697102
pre_fix_silent_fallback,colour_harmony_proxy,warm_color_ratio,0.25,0.25,True,0.25,15538,6106,0.1883079478758
pre_fix_silent_fallback,colour_harmony_proxy,saturation_std,0.2,0.2,True,0.2,16425,6250,8.220171001742383
pre_fix_silent_fallback,colour_harmony_proxy,hue_contrast,-0.15,0.15,True,-0.15,24,24,0.18372583408382176
pre_fix_silent_fallback,colour_harmony_proxy,num_dominant_colors,-0.1,0.1,True,-0.1,4,4,0.5666966942050355
